customer_id,segment,signup_date,region
C001,high_value,2023-01-12,North
C002,new,2024-02-05,South
C003,returning,2022-09-18,West
C004,at_risk,2023-05-22,North
C005,high_value,2022-11-27,East
C006,new,2024-01-09,South
C007,returning,2023-04-11,West
C008,at_risk,2022-12-15,East
C009,high_value,2021-08-03,North
C010,new,2024-03-19,South
C011,returning,2023-07-20,West
C012,at_risk,2023-02-08,East
C013,high_value,2022-06-14,North
C014,new,2024-04-11,South
C015,returning,2023-09-04,West
C016,at_risk,2022-10-22,East
C017,high_value,2021-11-11,North
C018,new,2024-05-21,South
C019,returning,2023-11-17,West
C020,at_risk,2022-08-29,East
