order_id,customer_id,order_date,product_category,amount,is_repeat_purchase
O1001,C001,2024-01-05,Electronics,154.50,False
O1002,C001,2024-02-08,Office,86.00,True
O1003,C002,2024-02-10,Home,42.25,False
O1004,C003,2024-03-02,Electronics,225.00,False
O1005,C003,2024-03-30,Office,120.75,True
O1006,C004,2024-01-18,Home,67.90,False
O1007,C005,2024-02-01,Electronics,310.40,False
O1008,C005,2024-03-08,Home,91.10,True
O1009,C006,2024-02-12,Office,58.30,False
O1010,C007,2024-03-15,Electronics,175.00,False
O1011,C007,2024-04-02,Home,101.50,True
O1012,C008,2024-01-25,Office,63.75,False
O1013,C009,2024-02-17,Electronics,245.80,False
O1014,C010,2024-03-20,Home,74.45,False
O1015,C011,2024-02-21,Office,89.90,False
O1016,C012,2024-03-27,Electronics,199.95,False
O1017,C013,2024-01-14,Home,142.10,False
O1018,C014,2024-04-11,Office,65.50,False
O1019,C015,2024-02-11,Electronics,268.60,False
O1020,C016,2024-03-25,Home,88.00,False
O1021,C017,2024-02-28,Office,115.25,False
O1022,C018,2024-04-15,Electronics,240.00,False
O1023,C019,2024-03-12,Home,96.00,False
O1024,C020,2024-04-04,Office,59.90,False
